"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"45",0.33321,0.1772625,1.05705,1.38678,0.63716,5.4,0.566037736,0,0,0,0,0,0,0,0,0,0,1,0,0,"M",1
"46",0.3586575,0.371055,1.07967,1.5225,0.65895,5.66,0.546925566,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"47",0.567675,0.3734475,1.364595,1.54251,0.63909,6.54,0.446153846,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"48",0.3704025,0.237945,1.01036,1.377645,0.65995,5.71,0.541254125,0,1,0,0,0,0,0,0,0,0,0,0,0,"P",1
"49",0.51939,0.2416425,1.10664,1.023555,0.63424,6.17,0.385579937,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"50",0.33582,0.381495,1.094025,1.26411,0.69033,5.71,0.710526316,0,0,0,0,0,0,0,0,0,0,1,0,0,"M",1
"51",0.324945,0.372795,1.13796,1.48074,0.66488,6.12,0.593272171,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"52",0.6866475,0.40977,1.549905,1.768275,0.63928,6.35,0.29022082,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"53",0.4012875,0.389325,1.172325,1.464645,0.6314,5.52,0.574132492,0,0,0,0,0,0,0,1,0,0,0,0,0,"SU",1
"54",0.244905,0.298845,1.01442,1.214085,0.66018,5.75,0.490131579,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"55",0.3630075,0.3134175,1.10664,1.62603,0.67227,5.39,0.665644172,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"56",0.445875,0.3567,0.915675,1.48857,0.67003,5.63,0.599388379,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"57",0.4717575,0.39324,1.052265,1.260195,0.67888,5.87,0.50617284,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
