"","Random.Nr","Tube.Nr","Factor.Num","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"64",146,259,0,"Control",0.9602625,0.312765,1.18755,1.4007,0.67683,5.16,0.606451613
"65",147,184,1,"Herb",0.3399525,0.268395,0.97614,1.326315,0.69319,5.64,0.503333333
"66",150,231,1,"Li",0.1650825,0.1328925,0.76038,1.167975,0.6752,5.78,0.62987013
"67",151,179,1,"Fung",0.261,0.0415425,0.95526,1.021815,0.68906,5.69,0.645051195
"68",152,194,1,"Insect",0.3016725,0.2429475,0.420645,1.14231,0.6762,5.73,0.541254125
"69",154,232,1,"Li",0.0045675,0.003045,0.02001,0.029145,0.65311,5.43,0.62745098
"70",155,217,1,"Salin",0.5935575,0.312765,1.215825,1.670835,0.63243,6.38,0.460750853
"71",157,185,1,"Herb",0.374535,0.2220675,1.3224,1.426365,0.75702,5.84,0.549206349
"72",158,193,1,"Insect",0.3393,0.17574,1.123605,1.41723,0.65611,5.82,0.675767918
"73",159,263,0,"Control",0.3915,0.1703025,1.17189,1.52163,0.6783,5.46,0.765536723
"74",161,207,1,"Nit",0.3334275,0.3886725,1.26237,1.37721,0.64178,5.75,0.449180328
"75",166,182,1,"Fung",0.40194,0.3608325,1.167975,1.24149,0.69431,5.91,0.533333333
"76",168,170,1,"AntiB",0.3973725,0.41238,1.0266,1.277595,0.65002,5.47,0.610561056
"77",172,155,1,"PFAS",0.338865,0.29928,1.10142,1.410705,0.66589,5.73,0.521311475
"78",174,262,0,"Control",0.3934575,0.3708375,1.174935,1.27107,0.65919,5.72,0.536184211
"79",175,226,1,"Cu",0.358875,0.3269025,1.224525,1.248015,0.65863,5.62,0.665634675
"80",176,210,1,"Nit",0.3577875,0.34104,1.058355,1.24584,0.70275,5.59,0.638554217
"81",177,235,1,"Li",0.3834525,0.2503425,1.12665,1.636905,0.65278,5.47,0.670926518
"82",180,156,1,"PFAS",0.22011,0.1998825,0.67251,1.238445,NA,5.97,0.666666667
"83",181,254,0,"Control",0.34626,0.2159775,0.900015,1.796985,0.65643,5.67,0.591772152
"84",183,268,0,"Water Control",0.182265,0.29232,1.128825,1.641255,0.68769,6.15,0.525974026
"85",184,208,1,"Nit",0.23229,0.132675,1.722165,1.48335,0.64049,5.69,0.601286174
"86",189,272,0,"Water Control",0.3360375,0.3242925,1.062705,1.59993,0.64465,6.29,0.524115756
"87",192,249,0,"Control",0.4134675,0.3486525,1.217565,1.855275,0.6435,5.87,0.553333333
"88",194,251,0,"Control",0.0023925,0.000435,1.328055,1.26759,0.68852,5.75,0.685618729
"89",195,214,1,"Nit",0.003915,NA,0.64554,1.61124,0.64269,5.8,0.617088608
"90",197,228,1,"Cu",0.00174,NA,1.32501,1.619505,0.67819,5.7,0.506097561
"91",198,237,1,"Li",0.00609,NA,1.46682,1.6008,0.66453,5.84,0.594855305
"92",199,168,1,"AntiB",0.0015225,0.000435,1.268895,1.56252,0.68227,5.67,NA
"93",201,219,1,"Salin",0.0032625,NA,2.06799,2.10192,0.64745,5.61,0.521472393
"94",203,197,1,"Insect",0.0050025,0.0045675,1.44333,1.93401,0.67451,5.64,0.58125
"95",204,189,1,"Herb",NA,0.0058725,1.1049,1.50249,0.67136,5.74,0.695512821
"96",207,206,1,"Surf",0.0045675,0.0023925,1.267155,1.75392,0.58822,5.73,0.464163823
"97",208,222,1,"Salin",NA,NA,1.792635,2.10105,0.65513,6.89,0.348214286
