"","Random.Nr","Tube.Nr","Factor.Num","Tube.label","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"54",54,216,1,"216-S-S","Salin",0.8758725,0.43848,1.43463,1.61211,0.63108,6.86,0.4
"55",55,23,8,"23-8f-D-124789M","Eight Factors",0.62553,0.2551275,0.95613,1.408965,0.68571,6.61,0.541666667
"56",56,122,2,"122-2f--82","Two Factors",0.3051525,0.230985,1.161885,1.4268,0.66271,5.69,0.498392283
"57",57,256,0,"256-C-0","Control",0.300585,0.23055,0.88305,1.57209,0.60107,5.54,0.56379822
"58",58,234,1,"234-S-3","Li",0.3342975,0.216195,1.32153,1.585575,0.66533,5.71,0.565217391
"59",59,174,1,"174-S-5","AntiB",0.3917175,0.224025,1.20582,1.63734,0.68731,5.65,0.63141994
"60",60,224,1,"224-S-2","Cu",0.234465,0.139635,0.97005,1.58166,0.63745,5.61,0.630094044
"61",61,176,1,"176-S-8","Fung",0.177045,0.2620875,0.97179,1.45203,0.68674,5.3,0.543973941
"62",62,273,0,"273-WC-0","Water Control",0.2860125,0.2629575,1.21887,1.61559,0.63901,6.4,0.472312704
"63",63,275,0,"275-WC-0","Water Control",0.2242425,0.2586075,1.342845,1.53642,0.61635,6.31,0.521172638
"64",64,247,0,"247-C-0","Control",0.25752,0.123975,1.17624,1.405485,0.69367,5.78,0.566343042
"65",65,154,1,"154-S-1","PFAS",0.411945,0.27057,0.90915,1.529025,0.65896,5.91,0.523333333
"66",66,62,5,"62-5f--23456","Five Factors",0.37236,0.269265,1.663005,1.533375,0.64224,5.82,0.565625
"67",67,199,1,"199-S-7","Surf",0.294495,0.37845,1.214085,1.42158,0.65821,5.65,0.487654321
"68",68,132,2,"132-2f--19","Two Factors",0.398895,0.28971,0.990495,1.41114,0.68863,5.59,0.479233227
"69",69,152,1,"152-S-1","PFAS",0.357135,0.29493,0.89088,1.738695,0.59888,5.64,0.448387097
"70",70,192,1,"192-S-6","Insect",0.3721425,0.40629,1.21887,1.76175,0.65302,5.63,0.568493151
"71",71,28,8,"28-8f-D-125678S","Eight Factors",1.8315675,1.02747,4.203405,2.34726,0.6002,6.84,0.404388715
"72",72,114,2,"114-2f-D-7","Two Factors",1.7641425,0.4965525,2.12106,1.472475,0.67873,6.7,0.425531915
"73",73,105,2,"105-2f-D-3","Two Factors",1.13796,0.427605,1.234965,1.507275,NA,6.54,0.433224756
"74",74,121,2,"121-2f--45","Two Factors",0.35148,0.34713,1.33023,1.77306,0.61973,5.93,0.633633634
"75",75,233,1,"233-S-3","Li",0.1198425,0.2312025,0.79953,0.98136,0.6274,6.34,0.508361204
"76",76,47,8,"47-8f-D-34579MS","Eight Factors",1.23279,0.5343975,2.36205,1.550775,0.63471,6.61,0.400611621
"77",77,60,5,"60-5f--2345M","Five Factors",0.3216825,0.42891,1.461165,1.632555,0.64818,5.99,0.568389058
"78",78,83,5,"83-5f-D-345S","Five Factors",1.1338275,1.50771,5.35746,2.339865,0.59068,6.87,0.495238095
"79",79,33,8,"33-8f-D-15789MS","Eight Factors",1.7610975,1.1107725,4.528785,2.18109,0.5691,6.98,0.420886076
"80",80,107,2,"107-2f-D-5","Two Factors",1.471605,0.48372,1.71042,1.142745,0.69459,6.7,0.516025641
"81",81,15,8,"15-8f-D-234679S","Eight Factors",1.001805,0.6853425,3.121125,2.037105,0.58245,6.84,0.380952381
"82",82,48,8,"48-8f-D-245789M","Eight Factors",1.321965,0.344955,1.803945,1.395045,0.59489,6.42,0.545741325
"83",83,209,1,"209-S-4","Nit",0.27057,0.1877025,0.687735,1.238445,0.66909,5.65,0.539184953
"84",84,66,5,"66-5f--1268M","Five Factors",0.27318,0.1890075,1.06401,1.132305,0.62446,5.83,0.726415094
"85",85,220,1,"220-S-S","Salin",0.6988275,0.4286925,1.566,1.75914,0.65829,6.77,0.468656716
"86",86,31,8,"31-8f-D-123459S","Eight Factors",1.169715,0.8415075,3.685755,1.732605,0.5734,6.74,0.480519481
"87",87,3,8,"3-8f-D-125678M","Eight Factors",2.0703825,0.585945,2.084955,1.24932,0.70691,6.37,0.426512968
"88",88,203,1,"203-S-7","Surf",0.37932,0.3299475,1.047045,1.4616,0.67275,5.63,0.479099678
"89",89,27,8,"27-8f-D-245679S","Eight Factors",0.9554775,0.70644,2.733105,1.74609,0.56876,6.79,0.327044025
"90",90,236,1,"236-S-3","Li",0.40977,0.3242925,1.050525,1.28934,0.63706,5.45,0.508196721
"91",91,68,5,"68-5f-D-127M","Five Factors",2.2113225,0.634665,2.73702,1.224525,0.69763,6.41,0.372670807
"92",92,271,0,"271-WC-0","Water Control",0.277965,0.3908475,1.762185,1.32414,0.6991,6.21,0.664473684
"93",93,162,1,"162-S-M","MP",0.2733975,0.1455075,0.800835,1.462905,0.66003,5.98,0.551839465
"94",94,160,1,"160-S-M","MP",0.2703525,0.2198925,0.852165,1.34067,0.63894,5.89,0.549839228
"95",95,20,8,"20-8f--1234578M","Eight Factors",0.4726275,0.4269525,1.92618,1.345455,0.70912,5.7,0.534810127
"96",96,141,2,"141-2f-D-S","Two Factors",1.3269675,1.3987425,4.781085,2.121495,0.55604,6.96,0.487012987
"97",97,161,1,"161-S-M","MP",0.3851925,0.2542575,1.55208,1.489005,0.61916,5.64,0.601246106
"98",98,165,1,"165-S-M","MP",0.4073775,0.36888,1.27194,1.372425,0.62674,5.65,0.595155709
"99",99,130,2,"130-2f--M9","Two Factors",0.3199425,0.3403875,1.01442,1.332405,0.6298,5.41,0.598039216
"100",100,129,2,"129-2f--MS","Two Factors",0.5439675,0.40368,1.15623,1.53555,0.63165,6.73,0.428571429
"101",101,99,5,"99-5f--2579M","Five Factors",0.3543075,0.35322,1.040085,1.194075,0.65759,5.84,0.515822785
"102",102,85,5,"85-5f--4579S","Five Factors",0.658155,0.37062,1.679535,1.509015,0.65752,6.56,NA
"103",103,91,5,"91-5f-D-367S","Five Factors",0.9137175,0.4434825,1.75566,1.49118,0.66115,6.36,0.398753894
"104",104,10,8,"10-8f-D-136789S","Eight Factors",1.56078,1.321095,4.619265,1.88529,0.57401,6.96,0.604501608
"105",105,164,1,"164-S-M","MP",0.33321,0.1772625,1.05705,1.38678,0.63716,5.4,0.566037736
"106",106,169,1,"169-S-5","AntiB",0.3586575,0.371055,1.07967,1.5225,0.65895,5.66,0.546925566
"107",107,221,1,"221-S-S","Salin",0.567675,0.3734475,1.364595,1.54251,0.63909,6.54,0.446153846
"108",108,158,1,"158-S-1","PFAS",0.3704025,0.237945,1.01036,1.377645,0.65995,5.71,0.541254125
"109",109,267,0,"267-WC-0","Water Control",0.51939,0.2416425,1.10664,1.023555,0.63424,6.17,0.385579937
"110",110,16,8,"16-8f--123679MS","Eight Factors",0.9002325,0.45414,1.58427,1.58688,0.61281,6.67,0.420529801
"111",111,14,8,"14-8f--134567MS","Eight Factors",0.47589,0.3699675,1.225395,1.74609,0.62275,6.41,0.342105263
"112",112,95,5,"95-5f-D-679S","Five Factors",1.252365,0.8262825,3.336015,2.025795,0.6006,6.64,0.412979351
"113",113,166,1,"166-S-M","MP",0.33582,0.381495,1.094025,1.26411,0.69033,5.71,0.710526316
"114",114,147,2,"147-2f--56","Two Factors",0.325815,0.3582225,1.074015,1.456815,0.59485,5.48,0.554878049
"115",115,80,5,"80-5f--1239M","Five Factors",0.406725,0.3290775,1.207995,1.21191,0.65696,5.59,0.7090301
"116",116,270,0,"270-WC-0","Water Control",0.324945,0.372795,1.13796,1.48074,0.66488,6.12,0.593272171
"117",117,88,5,"88-5f--168MS","Five Factors",0.9841875,0.353655,1.324575,1.73478,0.67497,6.9,0.611650485
"118",118,215,1,"215-S-S","Salin",0.6866475,0.40977,1.549905,1.768275,0.63928,6.35,0.29022082
"119",119,205,1,"205-S-7","Surf",0.4012875,0.389325,1.172325,1.464645,0.6314,5.52,0.574132492
"120",120,76,5,"76-5f-D-239M","Five Factors",1.3517625,0.5243925,2.19153,1.33023,0.68454,6.6,0.46223565
"121",121,59,5,"59-5f--1259S","Five Factors",0.665985,0.34713,1.26759,1.55208,0.65281,6.39,0.32807571
"122",122,103,2,"103-2f--M7","Two Factors",0.2981925,0.177045,0.987885,1.303695,0.66106,5.7,0.546075085
"123",123,109,2,"109-2f--M6","Two Factors",0.1607325,0.0741675,0.89784,0.958305,0.66857,5.41,0.647230321
"124",124,94,5,"94-5f--1235M","Five Factors",0.3138525,0.30537,0.970485,0.767775,0.63336,5.76,0.4875
"125",125,93,5,"93-5f--5678M","Five Factors",0.3251625,0.2203275,1.0179,1.32762,0.64772,5.46,0.565217391
"126",126,186,1,"186-S-9","Herb",0.244905,0.298845,1.01442,1.214085,0.66018,5.75,0.490131579
"127",127,19,8,"19-8f-D-125679S","Eight Factors",0.84042,0.54375,2.895795,1.56513,0.51535,6.52,0.398713826
"128",128,25,8,"25-8f-D-12358MS","Eight Factors",2.1682575,1.1464425,4.57359,1.741305,0.48991,6.76,0.369127517
"129",129,53,5,"53-5f--2469M","FIve Factors",0.29493,0.32451,1.18407,1.59819,0.66356,5.82,0.483180428
"130",130,257,0,"257-C-0","Control",0.3630075,0.3134175,1.10664,1.62603,0.67227,5.39,0.665644172
"131",131,44,8,"44-8f--1245689M","Eight Factors",0.39585,0.3160275,1.1745,1.66779,0.67789,5.93,0.653846154
"132",132,211,1,"211-S-4","Salin",0.445875,0.3567,0.915675,1.48857,0.67003,5.63,0.599388379
"133",133,52,5,"52-5f-D-789M","FIve Factors",2.81793,0.838245,3.27816,1.641255,0.70782,6.32,0.417177914
"134",134,175,1,"175-S-8","Fung",0.4717575,0.39324,1.052265,1.260195,0.67888,5.87,0.50617284
"135",135,253,0,"253-C-0","Control",0.2842725,0.3208125,1.040955,1.492485,0.647,5.56,0.510769231
"136",136,4,8,"4-8f-D-1234689","Eight Factors",1.231485,0.490245,1.68606,1.50945,0.65155,6.25,0.60472973
"137",137,133,2,"133-2f--13","Two Factors",0.3656175,0.176175,0.89958,1.532505,0.60446,5.7,0.517684887
"138",138,153,1,"153-S-1","PFAS",0.395415,0.30798,1.0005,1.37199,0.69726,NA,0.506622517
"139",139,118,2,"118-2f--89","Two Factors",0.3373425,0.298845,1.10229,1.38591,0.6752,5.59,0.54313099
"140",140,146,2,"146-2f-D-2","Two Factors",1.420275,0.3534375,1.637775,1.41636,0.65338,6.49,0.302702703
"141",141,178,1,"178-S-8","Fung",0.3512625,0.2803575,0.90045,1.358505,0.72301,6.12,0.536912752
"142",142,225,1,"225-S-2","Cu",0.34626,0.2825325,0.93786,1.25019,0.63945,5.69,0.444444444
"143",143,204,1,"204-S-7","Surf",0.38802,0.3338625,0.96222,1.170585,0.65496,5.62,0.447098976
"144",144,245,1,"245-S-D","Drought",0.7779975,0.30972,1.32675,0.97962,0.67666,6.28,0.402515723
"145",145,136,2,"136-2f--96","Two Factors",0.3564825,0.277095,0.83085,1.370685,0.67267,5.48,0.548387097
"146",146,259,0,"259-C-0","Control",0.9602625,0.312765,1.18755,1.4007,0.67683,5.16,0.606451613
"147",147,184,1,"184-S-9","Herb",0.3399525,0.268395,0.97614,1.326315,0.69319,5.64,0.503333333
"148",148,70,5,"70-5f-D-1279","FIve Factors",1.214955,0.43761,1.71912,1.3224,0.68186,6.56,0.448275862
"149",149,87,5,"87-5f--178MS","FIve Factors",0.4861125,0.32712,1.392,1.787415,0.69315,6.93,0.394230769
"150",150,231,1,"231-S-3","Li",0.1650825,0.1328925,0.76038,1.167975,0.6752,5.78,0.62987013
"151",151,179,1,"179-S-8","Fung",0.261,0.0415425,0.95526,1.021815,0.68906,5.69,0.645051195
"152",152,194,1,"194-S-6","Insect",0.3016725,0.2429475,0.420645,1.14231,0.6762,5.73,0.541254125
"153",153,127,2,"127-2f--53","Two Factors",0.2986275,0.261,1.242795,1.369815,0.67869,5.73,0.573248408
"154",154,232,1,"232-S-3","Li",0.0045675,0.003045,0.02001,0.029145,0.65311,5.43,0.62745098
"155",155,217,1,"217-S-S","Salin",0.5935575,0.312765,1.215825,1.670835,0.63243,6.38,0.460750853
"156",156,131,2,"131-2f--M2","Two Factors",0.4243425,0.3312525,1.46508,1.375035,0.65126,5.7,0.471571906
"157",157,185,1,"185-S-9","Herb",0.374535,0.2220675,1.3224,1.426365,0.75702,5.84,0.549206349
"158",158,193,1,"193-S-6","Insect",0.3393,0.17574,1.123605,1.41723,0.65611,5.82,0.675767918
"159",159,263,0,"263-C-0","Control",0.3915,0.1703025,1.17189,1.52163,0.6783,5.46,0.765536723
"160",160,84,5,"84-5f--3678S","Five Factors",0.6474975,0.2820975,1.18407,1.933575,0.6257,6.58,0.516233766
"161",161,207,1,"207-S-4","Nit",0.3334275,0.3886725,1.26237,1.37721,0.64178,5.75,0.449180328
"162",162,144,2,"144-2f--14","Two Factors",0.394545,0.3878025,1.35894,1.32675,0.65696,5.88,0.553398058
"163",163,116,2,"116-2f--79","Two Factors",0.4339125,0.32886,1.13622,1.137525,0.6617,5.87,0.466666667
"164",164,140,2,"140-2f--63","Two Factors",0.37845,0.3799725,1.174065,1.194075,0.67441,5.7,0.540983607
"165",165,61,5,"61-5f-D-1239","Five Factors",2.829675,1.31979,4.74237,1.24845,0.77354,6.65,0.474522293
"166",166,182,1,"182-S-8","Fung",0.40194,0.3608325,1.167975,1.24149,0.69431,5.91,0.533333333
"167",167,42,8,"42-8f-D-1345678","Eight Factors",3.0012825,1.59819,5.149965,1.55991,0.70232,6.71,0.501587302
"168",168,170,1,"170-S-5","AntiB",0.3973725,0.41238,1.0266,1.277595,0.65002,5.47,0.610561056
"169",169,139,2,"139-2f-D-M","Two Factors",0.8515125,0.3325575,1.37895,1.469865,0.64739,6.6,0.436923077
"170",170,11,8,"11-8f-D-23679MS","Eight Factors",0.7236225,0.48633,2.02536,1.86528,0.53056,6.3,0.378548896
"171",171,58,5,"58-5f-D-58MS","Five Factors",1.294125,1.1873325,4.6371,2.133675,NA,6.98,0.421052632
"172",172,155,1,"155-S-1","PFAS",0.338865,0.29928,1.10142,1.410705,0.66589,5.73,0.521311475
"173",173,26,8,"26-8f-D-234567M","Eight Factors",1.7015025,0.545055,2.424255,1.530765,NA,6.56,0.422077922
"174",174,262,0,"262-C-0","Control",0.3934575,0.3708375,1.174935,1.27107,0.65919,5.72,0.536184211
"175",175,226,1,"226-S-2","Cu",0.358875,0.3269025,1.224525,1.248015,0.65863,5.62,0.665634675
"176",176,210,1,"210-S-4","Nit",0.3577875,0.34104,1.058355,1.24584,0.70275,5.59,0.638554217
"177",177,235,1,"235-S-3","Li",0.3834525,0.2503425,1.12665,1.636905,0.65278,5.47,0.670926518
"178",178,78,5,"78-5f--189MS","Five Factors",0.66903,0.2825325,1.13535,1.85745,0.63621,6.71,0.439739414
"179",179,22,8,"22-8f--134569MS","Eight Factors",0.5526675,0.3134175,1.491615,2.05494,0.64356,6.57,0.340836013
"180",180,156,1,"156-S-1","PFAS",0.22011,0.1998825,0.67251,1.238445,NA,5.97,0.666666667
"181",181,254,0,"254-C-0","Control",0.34626,0.2159775,0.900015,1.796985,0.65643,5.67,0.591772152
"182",182,50,8,"50-8f-D-123789M","Eight Factors",1.3748175,0.4674075,2.118015,1.78002,0.67914,6.37,0.537704918
"183",183,268,0,"268-WC-0","Water Control",0.182265,0.29232,1.128825,1.641255,0.68769,6.15,0.525974026
"184",184,208,1,"208-S-4","Nit",0.23229,0.132675,1.722165,1.48335,0.64049,5.69,0.601286174
"185",185,6,8,"6-8f--245678MS","Eight Factors",0.96744,0.4552275,1.80612,1.850925,0.67882,6.61,0.582781457
"186",186,111,2,"111-2f--42","Two Factors",0.374535,0.3408225,1.269765,1.43028,0.62054,5.65,0.689655172
"187",187,34,8,"34-8f--234679MS","Eight Factors",0.508515,0.5191725,1.994475,1.75566,0.63645,6.61,0.508143322
"188",188,125,2,"125-2f--9S","Two Factors",0.6870825,0.3760575,1.45812,1.50162,0.63941,6.75,0.466237942
"189",189,272,0,"272-WC-0","Water Control",0.3360375,0.3242925,1.062705,1.59993,0.64465,6.29,0.524115756
"190",190,143,2,"143-2f--4S","Two Factors",0.712095,0.5143875,2.07408,2.271135,0.64407,6.53,0.535483871
"191",191,56,5,"56-5f--378MS","Five Factors",1.169715,0.40368,1.285425,1.761315,0.6519,6.87,0.415902141
"192",192,249,0,"249-C-0","Control",0.4134675,0.3486525,1.217565,1.855275,0.6435,5.87,0.553333333
"193",193,24,8,"24-8f--123478MS","Eight Factors",0.0028275,NA,1.850055,1.7574,NA,6.61,0.513353116
"194",194,251,0,"251-C-0","Control",0.0023925,0.000435,1.328055,1.26759,0.68852,5.75,0.685618729
"195",195,214,1,"214-S-4","Nit",0.003915,NA,0.64554,1.61124,0.64269,5.8,0.617088608
"196",196,112,2,"112-2f--1M","Two Factors",0,NA,1.174065,1.67214,NA,5.6,0.454545455
"197",197,228,1,"228-S-2","Cu",0.00174,NA,1.32501,1.619505,0.67819,5.7,0.506097561
"198",198,237,1,"237-S-3","Li",0.00609,NA,1.46682,1.6008,0.66453,5.84,0.594855305
"199",199,168,1,"168-S-5","AntiB",0.0015225,0.000435,1.268895,1.56252,0.68227,5.67,NA
"200",200,126,2,"126-2f--15","Two Factors",0.0054375,0.0102225,1.112295,1.62255,0.65267,6.41,0.480825959
"201",201,219,1,"219-S-S","Salin",0.0032625,NA,2.06799,2.10192,0.64745,5.61,0.521472393
"202",202,106,2,"106-2f--16","Two Factors",0.00174,0.0028275,1.08663,1.39722,0.68107,5.7,0.475504323
"203",203,197,1,"197-S-6","Insect",0.0050025,0.0045675,1.44333,1.93401,0.67451,5.64,0.58125
"204",204,189,1,"189-S-9","Herb",NA,0.0058725,1.1049,1.50249,0.67136,5.74,0.695512821
"205",205,97,5,"97-5f-D-1689","Five Factors",0.003045,0.00348,3.171585,1.937055,0.72088,6.84,NA
"206",206,35,8,"35-8f-D-12489MS","Eight Factors",NA,0.0087,6.41451,3.228135,0.54302,6.81,0.404907975
"207",207,206,1,"206-S-7","Surf",0.0045675,0.0023925,1.267155,1.75392,0.58822,5.73,0.464163823
"208",208,222,1,"222-S-S","Salin",NA,NA,1.792635,2.10105,0.65513,6.89,0.348214286
"209",209,40,8,"40-8f--134589MS","Eight Factors",0.00261,NA,1.82091,2.131935,0.64389,6.71,0.489361702
"210",210,89,5,"89-5f--1269S","Five Factors",0.0010875,0.00261,1.83222,2.020575,0.6276,6.61,0.388704319
"211",211,96,5,"96-5f-D-25MS","Five Factors",0.0071775,0.014355,4.5327,2.31159,0.54261,6.93,0.359872611
"212",212,239,1,"239-S-D","Drought",0.002175,0.004785,1.74174,1.9401,0.67143,6.23,0.598130841
"213",213,72,5,"72-5f-D-167S","Five Factors",0.0015225,0.02871,3.93066,2.219805,0.58367,7.12,0.592105263
"214",214,243,1,"243-S-D","Drought",0.002175,0.0110925,2.313765,1.84614,0.64997,6.75,0.498305085
"215",215,187,1,"187-S-9","Herb",NA,NA,1.44246,1.715205,0.69554,5.56,0.653495441
"216",216,2,8,"2-8f--235678MS","Eight Factors",0.011745,0.0145725,2.036235,2.014485,0.64217,6.67,1.441666667
"217",217,63,5,"63-5f-D-2359","Five Factors",0.0015225,0.0010875,2.31072,1.604715,0.64401,6.66,0.374603175
"218",218,74,5,"74-5f-D-1256","Five Factors",NA,NA,1.729125,1.637775,0.63126,6.52,0.434659091
"219",219,145,2,"145-2f-D-4","Two Factors",0.00174,NA,2.22633,1.90878,0.67922,6.65,0.525083612
"220",220,9,8,"9-8f-D-23478MS","Eight Factors",0.010005,0.00435,5.77419,3.073275,0.55172,6.61,0.361290323
"221",221,238,1,"238-S-3","Li",NA,NA,0.85521,1.59645,0.68275,5.75,0.735973597
"222",222,108,2,"108-2f--92","Two Factors",NA,0.0015225,0.68034,1.759575,0.62052,5.56,0.576791809
"223",223,69,5,"69-5f--2467S","Five Factors",0.0067425,0.0023925,1.131,2.254605,0.63299,6.22,0.37254902
"224",224,274,0,"274-WC-0","Water Control",0.0045675,0.00174,0.602475,1.957065,0.65498,6.32,0.523961661
"225",225,138,2,"138-2f-D-8","Two Factors",NA,0.0023925,2.140635,1.472475,0.70808,6.76,0.441176471
"226",226,5,8,"5-8f-D-12356MS","Eight Factors",NA,NA,3.29469,1.67562,0.4242,6.89,0.45482866
"227",227,17,8,"17-8f-D-1236789","Eight Factors",0.0028275,NA,2.57085,1.28499,0.69796,6.68,0.58496732
"228",228,12,8,"12-8f-D-124578S","Eight Factors",0.0015225,0.0045675,2.59695,1.690845,NA,6.76,0.425925926
"229",229,18,8,"18-8f-D-135689S","Eight Factors",NA,0.003915,4.471365,2.345955,0.57641,6.83,0.382716049
"230",230,75,5,"75-5f-D-1569","Five Factors",NA,0.002175,1.07097,1.63038,0.63024,6.06,0.470914127
"231",231,37,8,"37-8f-D-134579S","Eight Factors",0.0280575,NA,2.40381,1.926615,0.54612,6.87,0.342019544
"232",232,46,8,"46-8f-D-1234578","Eight Factors",0.0986,NA,3.047175,1.152315,0.66073,6.61,0.493506494
"233",233,100,5,"100-5f--25679","Five Factors",0.0023925,NA,1.020945,1.17015,0.68522,5.73,0.586956522
"234",234,229,1,"229-S-2","Cu",NA,NA,0.9744,1.438545,0.69335,5.66,0.626198083
"235",235,90,5,"90-5f--12345","Five Factors",0,0,1.196685,1.133175,0.6752,5.98,0.503246753
